HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40366780,40360305,40276558,35.82,450.4,52.3,87.67,156.1,1,0.060,2,4,8,4120463730
40366781,40366139,40276558,3.27,455.3,81.6,9.61,691.8,1,0.507,3,2,7,4120472160
40366782,40368526,40276558,4.24,518.6,14.6,26.32,26.3,1,0.019,1,5,8,4120476620
40366783,40366386,40361949,6.61,51.2,45.3,22.19,409.6,1,0.078,3,1,8,4120472700
40366784,40366044,40365944,5.62,11.3,36.2,10.93,220.6,1,0.147,2,2,7,4120472080
40366785,40366906,40364888,12.84,13.3,18.3,43.03,43.0,1,0.000,1,3,10,4121318040
40366786,40365481,40364888,6.40,69.3,11.7,22.03,22.0,1,0.000,1,4,10,4121317480
40366787,40366390,40363583,24.78,20.0,36.2,64.41,64.4,1,0.000,1,2,10,4120472000
40366788,40365838,40363583,4.54,13.8,52.2,7.62,448.2,1,0.000,3,2,10,4120471580
40366789,0,40366789,1.34,0.0,6.9,12.42,12.4,1,0.000,1,2,10,4120057870
40366790,40367130,40367129,1.05,4.5,42.2,1.82,214.8,1,0.000,2,2,10,4120473030
40366791,40366792,40367030,3.52,62.6,18.4,6.29,53.0,1,0.000,2,3,10,4120470870
40366792,40364416,40367030,13.19,49.6,41.4,39.90,181.1,1,0.000,3,2,10,4120470870
40366793,40366148,40360317,3.73,33.6,12.3,16.73,16.7,1,0.000,1,4,10,4120468570
40366794,40366152,40365950,3.25,5.6,12.4,15.58,15.6,1,0.000,1,3,10,4120471890
40366795,40365950,40365950,4.54,3.3,15.9,15.74,15.7,1,0.000,1,3,10,4120471890
40366796,40365951,40365605,3.95,21.9,37.2,6.63,176.4,1,0.000,3,2,10,4120472350
40366797,40366689,40417973,0.58,2699.2,2769.9,0.33,313336.3,0,742.950,7,1,4,4120473160
40366798,40366797,40417973,2.18,2699.6,8.4,16.23,16.2,0,0.002,1,2,9,4120473160
40366900,40367632,40341441,8.57,533.0,13.6,46.22,46.2,1,0.014,1,4,8,4120474210
